ください	1932765896	ja	he	2つください。	תן לי לקבל שניים.	בואו לגלות!	בואו נתחתן.	בואו נתכנן את זה.	כן, בוא נלך!	כן, בוא נלך להביא קצת!	כן, בואו נעשה את זה!
ください	998891526	ja	he	お試しください。	אנא, נסי אחד.	הוא התחיל לפחד.	מרי מצאה אחד.	אנא התקשר אלי.	אנא, שתה משהו.	אנא בוא לכאן.	תום צריך אחד.
ください	425311050	ja	he	ビールをください。	בירה בבקשה.	המצב רדום.	הם יתקיפו.	זה פורק.	חכה למשטרה.	זה רעיל?	תום בוקר.
ください	830775295	ja	he	お入りください。	תיכנס בבקשה.	הזמנתי מקום.	תחפש רמזים.	הבירה מרה.	אתם כעורים.	זה נבון?	אינך מסופק?
ください	830775295	ja	he	お入りください。	הכנסו בבקשה פנימה.	בואי הכנסי פנימה.	הכנסו עכשיו בבקשה.	תיכנסי בבקשה פנימה.	הייתי צעירה ותמימה.	הכנסו פנימה ושבו.
ください	998891526	ja	he	お試しください。	אנא, נסו אחד.	אנא התעזר בסבלנות.	נא להישאר ביחד.	אנא תעזרי לזה!	נא לקחת אחד.	אנא עצור שם.	פשוט קחו אחד.
ください	394099556	ja	he	手紙をくださいね。	כתוב לי לפעמים.	כתוב את זה.	הם לא מקנאים.	יש לתום גמלים.	כתוב באופן מובן!	כתוב לי משהו.	לא כולם ישרים.
ください	883835294	ja	he	お座りください。	שב בבקשה.	איזו אבידה!	כולם חייכו.	תצטרפו אלינו.	תום מתנועע.	אתם רגשניים.	חלמתי עליכם.
ください	883835294	ja	he	お座りください。	שבי בבקשה!	כמה כמה?	העניין מסודר.	התמימות יפיפיה.	תרגע, בחור.	איפה אביך?	כולם משתנקים.
ください	270942632	ja	he	冷たいのをください。	אני רוצה את זה קריר.	אני רוצה לאכול מרק חם.	אני חושב שאני מקבל בחילה.	אני יכול לקבל בהשאלה עט?	אני לוקח את ההגה לידי.	אני שונאת את הגוף שלי.	אני הכי אוהבת את הסתיו.
